Error,Sample,File,Sample Identifier,Sample Type,SampleName,condition,instrumentareplica
,S1,F1,sample1_10022025,Sample,10364,Aortic_Aneurism,1
,S2,F2,sample1_17022025,Sample,10364,Aortic_Aneurism,2
,S3,F3,sample2_10022025,Sample,10367,Aortic_Aneurism,1
,S4,F4,sample2_17022025,Sample,10367,Aortic_Aneurism,2
,S5,F5,sample3_10022025,Sample,VD2100020,Aortic_Aneurism,1
,S6,F6,sample3_17022025,Sample,VD2100020,Aortic_Aneurism,2
,S7,F7,sample4_10022025,Sample,VD2100023,Aortic_Aneurism,1
,S8,F8,sample4_17022025,Sample,VD2100023,Aortic_Aneurism,2
,S9,F9,sample5_10022025,Sample,VD2100042,Aortic_Aneurism,1
,S10,F10,sample5_17022025,Sample,VD2100042,Aortic_Aneurism,2
,S11,F11,sample6_10022025,Sample,VD2100089,Aortic_Aneurism,1
,S12,F12,sample6_17022025,Sample,VD2100089,Aortic_Aneurism,2
,S13,F13,sample7_10022025,Sample,VD2100127,Aortic_Aneurism,1
,S14,F14,sample7_17022025,Sample,VD2100127,Aortic_Aneurism,2
,S15,F15,sample8_10022025,Sample,VD2100143,Aortic_Aneurism,1
,S16,F16,sample8_17022025,Sample,VD2100143,Aortic_Aneurism,2
,S17,F17,sample9_10022025,Sample,VD2200046,Aortic_Aneurism,1
,S18,F18,sample9_17022025,Sample,VD2200046,Aortic_Aneurism,2
,S19,F19,sample10_10022025,Sample,VD2300001,Healthy,1
,S20,F20,sample10_17022025,Sample,VD2300001,Healthy,2
,S21,F21,sample11_10022025,Sample,VD2300002,Aortic_Aneurism,1
,S22,F22,sample11_17022025,Sample,VD2300002,Aortic_Aneurism,2
,S23,F23,sample12_10022025,Sample,VD2300004,Aortic_Aneurism,1
,S24,F24,sample12_17022025,Sample,VD2300004,Aortic_Aneurism,2
,S25,F25,sample13_10022025,Sample,VD2300023,Aortic_Aneurism,1
,S26,F26,sample13_17022025,Sample,VD2300023,Aortic_Aneurism,2
,S27,F27,sample14_10022025,Sample,VD2300050,Aortic_Aneurism,1
,S28,F28,sample14_17022025,Sample,VD2300050,Aortic_Aneurism,2
,S29,F29,sample15_10022025,Sample,VD2300066,Aortic_Aneurism,1
,S30,F30,sample15_17022025,Sample,VD2300066,Aortic_Aneurism,2
,S31,F31,sample16_10022025,Sample,VD2300083,Aortic_Aneurism,1
,S32,F32,sample16_17022025,Sample,VD2300083,Aortic_Aneurism,2
,S33,F33,sample17_10022025,Sample,VD2300087,Aortic_Aneurism,1
,S34,F34,sample17_17022025,Sample,VD2300087,Aortic_Aneurism,2
,S35,F35,sample18_10022025,Sample,VD2300117,Aortic_Aneurism,1
,S36,F36,sample18_17022025,Sample,VD2300117,Aortic_Aneurism,2
,S37,F37,sample19_10022025,Sample,VD2400050,Aortic_Aneurism,1
,S38,F38,sample19_17022025,Sample,VD2400050,Aortic_Aneurism,2
,S39,F39,sample20_10022025,Sample,VD2400066,Aortic_Aneurism,1
,S40,F40,sample20_17022025,Sample,VD2400066,Aortic_Aneurism,2
,S41,F41,sample26_10022025,Sample,FA1,Aortic_Aneurism,1
,S42,F42,sample26_17022025,Sample,FA1,Aortic_Aneurism,2
,S43,F43,sample27_10022025,Sample,FA3,Aortic_Aneurism,1
,S44,F44,sample27_17022025,Sample,FA3,Aortic_Aneurism,2
,S45,F45,sample29_10022025,Sample,FA5,Aortic_Aneurism,1
,S46,F46,sample29_17022025,Sample,FA5,Aortic_Aneurism,2
,S47,F47,sample30_10022025,Sample,FA6,Aortic_Aneurism,1
,S48,F48,sample30_17022025,Sample,FA6,Aortic_Aneurism,2
,S49,F49,sample31_10022025,Sample,FA7,Aortic_Aneurism,1
,S50,F50,sample31_17022025,Sample,FA7,Aortic_Aneurism,2
,S51,F51,sample32_10022025,Sample,SCALA50-----,Healthy,1
,S52,F52,sample32_17022025,Sample,SCALA50-----,Healthy,2
,S53,F53,sampleCTRL1_10022025,Sample,245AIT,Healthy,1
,S54,F54,sampleCTRL1_17022025,Sample,245AIT,Healthy,2
,S55,F55,sampleCTRL2_10022025,Sample,284AIT,Healthy,1
,S56,F56,sampleCTRL2_17022025,Sample,284AIT,Healthy,2
,S57,F57,sampleCTRL3_10022025,Sample,230AIT,Healthy,1
,S58,F58,sampleCTRL3_17022025,Sample,230AIT,Healthy,2
,S59,F59,sampleCTRL4_10022025,Sample,161FCP/FA,Healthy,1
,S60,F60,sampleCTRL4_17022025,Sample,161FCP/FA,Healthy,2
,S61,F61,sampleCTRL5_10022025,Sample,279TCFA/HR,Healthy,1
,S62,F62,sampleCTRL5_17022025,Sample,279TCFA/HR,Healthy,2
,S63,F63,sampleCTRL6_10022025,Sample,282HR,Healthy,1
,S64,F64,sampleCTRL6_17022025,Sample,282HR,Healthy,2
