"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score MS Amanda 2.0: MS Amanda 2.0"	"Score Sequest HT: Sequest HT"	"# Peptides (by Search Engine): MS Amanda 2.0"	"# Peptides (by Search Engine): Sequest HT"	"Biological Process"	"Cellular Component"	"Molecular Function"	"Pfam IDs"	"Entrez Gene ID"	"Ensembl Gene ID"	"Gene Symbol"	"Gene ID"	"WikiPathways"	"Reactome Pathways"	"# Protein Pathway Groups"	"# Razor Peptides"	"Abundance Ratio: (Aortic_Aneurism) / (Healthy)"	"Abundance Ratio Adj. P-Value: (Aortic_Aneurism) / (Healthy)"	"Abundance Ratio Variability [%]: (Aortic_Aneurism) / (Healthy)"	"Abundances (Grouped): Aortic_Aneurism"	"Abundances (Grouped): Healthy"	"Abundances (Grouped) CV [%]: Aortic_Aneurism"	"Abundances (Grouped) CV [%]: Healthy"	"Found in Sample: [S1] F1: Sample, 10364, Aortic_Aneurism, 1"	"Found in Sample: [S2] F2: Sample, 10364, Aortic_Aneurism, 2"	"Found in Sample: [S3] F3: Sample, 10367, Aortic_Aneurism, 1"	"Found in Sample: [S4] F4: Sample, 10367, Aortic_Aneurism, 2"	"Found in Sample: [S5] F5: Sample, VD2100020, Aortic_Aneurism, 1"	"Found in Sample: [S6] F6: Sample, VD2100020, Aortic_Aneurism, 2"	"Found in Sample: [S7] F7: Sample, VD2100023, Aortic_Aneurism, 1"	"Found in Sample: [S8] F8: Sample, VD2100023, Aortic_Aneurism, 2"	"Found in Sample: [S9] F9: Sample, VD2100042, Aortic_Aneurism, 1"	"Found in Sample: [S10] F10: Sample, VD2100042, Aortic_Aneurism, 2"	"Found in Sample: [S11] F11: Sample, VD2100089, Aortic_Aneurism, 1"	"Found in Sample: [S12] F12: Sample, VD2100089, Aortic_Aneurism, 2"	"Found in Sample: [S13] F13: Sample, VD2100127, Aortic_Aneurism, 1"	"Found in Sample: [S14] F14: Sample, VD2100127, Aortic_Aneurism, 2"	"Found in Sample: [S15] F15: Sample, VD2100143, Aortic_Aneurism, 1"	"Found in Sample: [S16] F16: Sample, VD2100143, Aortic_Aneurism, 2"	"Found in Sample: [S17] F17: Sample, VD2200046, Aortic_Aneurism, 1"	"Found in Sample: [S18] F18: Sample, VD2200046, Aortic_Aneurism, 2"	"Found in Sample: [S21] F21: Sample, VD2300002, Aortic_Aneurism, 1"	"Found in Sample: [S22] F22: Sample, VD2300002, Aortic_Aneurism, 2"	"Found in Sample: [S23] F23: Sample, VD2300004, Aortic_Aneurism, 1"	"Found in Sample: [S24] F24: Sample, VD2300004, Aortic_Aneurism, 2"	"Found in Sample: [S25] F25: Sample, VD2300023, Aortic_Aneurism, 1"	"Found in Sample: [S26] F26: Sample, VD2300023, Aortic_Aneurism, 2"	"Found in Sample: [S27] F27: Sample, VD2300050, Aortic_Aneurism, 1"	"Found in Sample: [S28] F28: Sample, VD2300050, Aortic_Aneurism, 2"	"Found in Sample: [S29] F29: Sample, VD2300066, Aortic_Aneurism, 1"	"Found in Sample: [S30] F30: Sample, VD2300066, Aortic_Aneurism, 2"	"Found in Sample: [S31] F31: Sample, VD2300083, Aortic_Aneurism, 1"	"Found in Sample: [S32] F32: Sample, VD2300083, Aortic_Aneurism, 2"	"Found in Sample: [S33] F33: Sample, VD2300087, Aortic_Aneurism, 1"	"Found in Sample: [S34] F34: Sample, VD2300087, Aortic_Aneurism, 2"	"Found in Sample: [S35] F35: Sample, VD2300117, Aortic_Aneurism, 1"	"Found in Sample: [S36] F36: Sample, VD2300117, Aortic_Aneurism, 2"	"Found in Sample: [S37] F37: Sample, VD2400050, Aortic_Aneurism, 1"	"Found in Sample: [S38] F38: Sample, VD2400050, Aortic_Aneurism, 2"	"Found in Sample: [S39] F39: Sample, VD2400066, Aortic_Aneurism, 1"	"Found in Sample: [S40] F40: Sample, VD2400066, Aortic_Aneurism, 2"	"Found in Sample: [S41] F41: Sample, FA1, Aortic_Aneurism, 1"	"Found in Sample: [S42] F42: Sample, FA1, Aortic_Aneurism, 2"	"Found in Sample: [S43] F43: Sample, FA3, Aortic_Aneurism, 1"	"Found in Sample: [S44] F44: Sample, FA3, Aortic_Aneurism, 2"	"Found in Sample: [S45] F45: Sample, FA5, Aortic_Aneurism, 1"	"Found in Sample: [S46] F46: Sample, FA5, Aortic_Aneurism, 2"	"Found in Sample: [S48] F48: Sample, FA6, Aortic_Aneurism, 2"	"Found in Sample: [S49] F49: Sample, FA7, Aortic_Aneurism, 1"	"Found in Sample: [S50] F50: Sample, FA7, Aortic_Aneurism, 2"	"Found in Sample: [S65] F65: Sample, FA6, Aortic_Aneurism, 1"	"Found in Sample: [S51] F51: Sample, SCALA50-----, Healthy, 1"	"Found in Sample: [S52] F52: Sample, SCALA50-----, Healthy, 2"	"Found in Sample: [S53] F53: Sample, 245AIT, Healthy, 1"	"Found in Sample: [S54] F54: Sample, 245AIT, Healthy, 2"	"Found in Sample: [S55] F55: Sample, 284AIT, Healthy, 1"	"Found in Sample: [S56] F56: Sample, 284AIT, Healthy, 2"	"Found in Sample: [S57] F57: Sample, 230AIT, Healthy, 1"	"Found in Sample: [S58] F58: Sample, 230AIT, Healthy, 2"	"Found in Sample: [S59] F59: Sample, 161FCP/FA, Healthy, 1"	"Found in Sample: [S60] F60: Sample, 161FCP/FA, Healthy, 2"	"Found in Sample: [S61] F61: Sample, 279TCFA/HR, Healthy, 1"	"Found in Sample: [S62] F62: Sample, 279TCFA/HR, Healthy, 2"	"Found in Sample: [S63] F63: Sample, 282HR, Healthy, 1"	"Found in Sample: [S64] F64: Sample, 282HR, Healthy, 2"	"# Protein Groups"	"Modifications"
"2835722040055345918"	"True"	"High"	"IsMasterProtein"	"P62736"	"Actin, aortic smooth muscle"	"0.000"	"859.600"	"77"	"23"	"7860"	"2"	"377"	"42.0"	"5.39"	"1100882.92"	"13252.11"	"18"	"23"	"developmental processes;other biological processes"	"extracellular matrix;cytosol;cytoskeleton;other cell component"	"other molecular function"	"Pf00022"	"59"	"ENSG00000107796"	"ACTA2"	"B2R8A4; hsa:59; P03996; P04108; P62736; Q6FI19"	"Myometrial relaxation and contraction pathways; Striated muscle contraction pathway; Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms; 22q11.2 copy number variation syndrome; IL18 signaling; Regucalcin in proximal tubule epithelial kidney cells; Angiotensin II receptor type 1 pathway; Pleural mesothelioma; CCL18 signaling; Urotensin-II-mediated signaling; Markers of kidney cell lineage; Comprehensive IL-17A signaling; IL26 signaling; Macrophage-stimulating protein (MSP) signaling; IL19 signaling"	"Smooth Muscle Contraction; Formation of the dystrophin-glycoprotein complex (DGC); NOTCH4 Intracellular Domain Regulates Transcription"	"18"	"0"	"0.067"	"0.000379235271287041"	"121.97"	"15.0"	"185.0"	"157.58"	"64.86"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Phospho [Y296(100)]"
"3249429330709182822"	"True"	"High"	"IsMasterProtein"	"P68133"	"Actin, alpha skeletal muscle"	"0.000"	"800.083"	"77"	"24"	"7923"	"2"	"377"	"42.0"	"5.39"	"1137653.27"	"11906.51"	"18"	"24"	"cell organization and biogenesis;other biological processes"	"cytosol;cytoskeleton;other cell component"	"cytoskeletal activity;other molecular function"	"Pf00022"	"58"	"ENSG00000143632"	"ACTA1"	"hsa:58; P02568; P68133; P99020; Q5T8M9"	"Myometrial relaxation and contraction pathways; Fas ligand pathway and stress induction of heat shock proteins; Physico-chemical features and toxicity-associated pathways; Striated muscle contraction pathway; Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms; IL18 signaling; Pleural mesothelioma"	"Striated Muscle Contraction; Formation of the dystrophin-glycoprotein complex (DGC)"	"9"	"19"	"0.137"	"0.0357513183167477"	"126.77"	"26.4"	"173.6"	"113.61"	"44.33"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"-7495680864779682650"	"True"	"High"	"IsMasterProtein"	"P51911"	"Calponin-1"	"0.000"	"499.033"	"82"	"21"	"3441"	"18"	"297"	"33.2"	"9.07"	"505685.85"	"5622.51"	"17"	"19"	"cell organization and biogenesis;other biological processes"	"cytoskeleton"	"cytoskeletal activity;other molecular function"	"Pf00307, Pf00402"	"1264"	"ENSG00000130176"	"CNN1"	"B2R868; B4DUX6; hsa:1264; O00638; P51911; Q15416; Q8IY93; Q99438"	"Endothelin pathways; Myometrial relaxation and contraction pathways"	""	"2"	"3"	"0.099"	"0.00552846722957422"	"123.19"	"10.4"	"189.6"	"116.21"	"64.54"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]; Acetyl [N-Term]; Phospho [S129(97.3)]"
"-2363615815347436425"	"True"	"High"	"IsMasterProtein"	"Q01995"	"Transgelin"	"0.000"	"424.801"	"81"	"20"	"10413"	"19"	"201"	"22.6"	"8.84"	"1482983.80"	"12731.80"	"18"	"20"	"other biological processes"	"other cell component"	"cytoskeletal activity"	"Pf00307, Pf00402"	"6876"	"ENSG00000149591"	"TAGLN"	"hsa:6876; O15542; Q01995"	"Burn wound healing"	""	"1"	"2"	"0.131"	"0.0280429317453184"	"106.44"	"19.2"	"180.8"	"90.10"	"38.66"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"8479889696518381262"	"True"	"High"	"IsMasterProtein"	"P37802"	"Transgelin-2"	"0.000"	"388.516"	"85"	"16"	"3103"	"15"	"199"	"22.4"	"8.25"	"424526.47"	"4864.51"	"14"	"16"	"cell organization and biogenesis;other biological processes"	"non-structural extracellular;cytosol;cytoskeleton"	"cytoskeletal activity"	"Pf00307, Pf00402"	"8407"	"ENSG00000158710"	"TAGLN2"	"E9KL39; hsa:8407; P37802; Q5JRQ6; Q5JRQ7; Q6FGI1; Q9BUH5; Q9H4P0"	""	"Platelet degranulation"	"1"	"3"	"0.229"	"0.278303709266672"	"98.48"	"37.4"	"162.6"	"64.94"	"53.35"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"3944775931209301438"	"True"	"High"	"IsMasterProtein"	"P60660"	"Myosin light polypeptide 6"	"0.000"	"373.871"	"88"	"12"	"2690"	"9"	"151"	"16.9"	"4.65"	"419577.48"	"4112.16"	"10"	"11"	"other biological processes"	"cytosol;cytoskeleton;other cell component"	"cytoskeletal activity;other molecular function"	""	"4637"	"ENSG00000092841"	"MYL6"	"hsa:4637; P16475; P24572; P24573; P60660; Q12790; Q561V9; Q6IAZ0; Q6IPY5"	"Ciliary landscape"	"RHO GTPases activate CIT; EPHA-mediated growth cone collapse; Sema4D induced cell migration and growth-cone collapse; Smooth Muscle Contraction; RHO GTPases activate PKNs; RHO GTPases Activate ROCKs; RHO GTPases activate PAKs"	"8"	"5"	"0.134"	"0.0321274240557818"	"92.96"	"26.1"	"173.9"	"78.29"	"39.34"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]; Met-loss+Acetyl [N-Term]"
"-6424990256346318104"	"True"	"High"	"IsMasterProtein"	"P04792"	"Heat shock protein beta-1"	"0.000"	"371.797"	"72"	"16"	"2580"	"16"	"205"	"22.8"	"6.40"	"291912.66"	"5481.80"	"14"	"16"	"protein metabolism;other metabolic processes;stress response;transport;signal transduction;other biological processes"	"plasma membrane;cytosol;cytoskeleton;nucleus;other cell component"	"enzyme regulator activity;other molecular function"	"Pf00011"	"3315"	"ENSG00000106211"	"HSPB1"	"B2R4N8; hsa:3315; P04792; Q6FI47; Q96C20; Q96EI7; Q9UC31; Q9UC34; Q9UC35; Q9UC36"	"Apoptosis-related network due to altered Notch3 in ovarian cancer; Fas ligand pathway and stress induction of heat shock proteins; MAPK signaling; ATM signaling in development and disease ; VEGFA-VEGFR2 signaling; p38 MAPK signaling; Extracellular vesicles in the crosstalk of cardiac cells; Ferroptosis; IL18 signaling; Intracellular trafficking proteins involved in CMT neuropathy; GDNF signaling; Macrophage-stimulating protein (MSP) signaling; 7q11.23 distal copy number variation; HDAC6 interactions in the central nervous system; Effect of dasatinib on the BCR-ABL signaling pathway"	"Extra-nuclear estrogen signaling; AUF1 (hnRNP D0) binds and destabilizes mRNA; MAPK6/MAPK4 signaling; VEGFA-VEGFR2 Pathway"	"19"	"0"	"0.182"	"0.126029195912116"	"86.65"	"31.5"	"168.5"	"62.72"	"32.66"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Phospho [S82(100)]"
"2871409492107911452"	"True"	"High"	"IsMasterProtein"	"P02679"	"Fibrinogen gamma chain"	"0.000"	"369.357"	"58"	"20"	"1882"	"20"	"453"	"51.5"	"5.62"	"225753.09"	"3528.96"	"18"	"20"	"cell adhesion;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;other biological processes"	"non-structural extracellular;plasma membrane;other membranes;ER/Golgi;other cell component"	"signal transduction activity or receptor binding;other molecular function"	"Pf00147, Pf08702"	"2266"	"ENSG00000171557"	"FGG"	"A8K057; hsa:2266; P02679; P04469; P04470; Q53Y18; Q96A14; Q96KJ3; Q9UC62; Q9UC63; Q9UCF3"	"Selenium micronutrient network; Vitamin B12 metabolism; Folate metabolism; Blood clotting cascade; Complement system; VEGFA-VEGFR2 signaling; Fibrin complement receptor 3 signaling; COVID-19, thrombosis and anticoagulation; Network map of SARS-CoV-2 signaling"	"Platelet degranulation ; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; Integrin cell surface interactions; ER-Phagosome pathway; Signaling by BRAF and RAF1 fusions; MyD88:MAL(TIRAP) cascade initiated on plasma membrane; MyD88 deficiency (TLR2/4); IRAK4 deficiency (TLR2/4); Regulation of TLR by endogenous ligand; Signaling by moderate kinase activity BRAF mutants; Paradoxical activation of RAF signaling by kinase inactive BRAF; Signaling downstream of RAS mutants; Signaling by RAF1 mutants; Common Pathway of Fibrin Clot Formation; MAP2K and MAPK activation; Signaling by high-kinase activity BRAF mutants; GRB2:SOS provides linkage to MAPK signaling for Integrins ; p130Cas linkage to MAPK signaling for integrins"	"29"	"0"	"4.104"	"0.120390075487614"	"109.24"	"157.0"	"43.0"	"70.08"	"64.10"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-1800037167457152106"	"True"	"High"	"IsMasterProtein"	"P04217"	"Alpha-1B-glycoprotein"	"0.000"	"259.658"	"45"	"13"	"907"	"13"	"495"	"54.2"	"5.86"	"114138.57"	"1792.38"	"8"	"13"	"signal transduction"	"non-structural extracellular;plasma membrane;other membranes;other cell component"	""	"Pf13895"	"1"	"ENSG00000121410"	"A1BG"	"A8K052; hsa:1; P04217; Q68CK0; Q8IYJ6; Q96P39"	"Network map of SARS-CoV-2 signaling"	"Neutrophil degranulation; Platelet degranulation"	"3"	"0"	"5.080"	"0.0462527827757797"	"120.96"	"181.9"	"18.1"	"96.83"	"137.23"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"1"	""
"-3011469150095823870"	"True"	"High"	"IsMasterProtein"	"Q9Y696"	"Chloride intracellular channel protein 4"	"0.000"	"257.239"	"60"	"14"	"626"	"13"	"253"	"28.8"	"5.59"	"76243.67"	"920.10"	"12"	"13"	"transport;developmental processes;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;ER/Golgi;nucleus;other cell component"	"transporter activity;other molecular function"	"Pf22441"	"25932"	"ENSG00000169504"	"CLIC4"	"hsa:25932; Q9UFW9; Q9UQJ6; Q9Y696"	""	""	"0"	"2"	"0.240"	"0.319907312981232"	"98.00"	"25.8"	"174.2"	"69.82"	"27.17"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]; Met-loss+Acetyl [N-Term]"
